Модель;Сокет;Чипсет;Фазы питания;Разъем M.2;Форм фактор;Версия PCI;Цена;Ссылка
MSI B450 GAMING PLUS MAX;AM4;B450;6;1;Standard-ATX;3;7999;
ASRock A320M-DVS R4.0;AM4;A320;6;0;Micro-ATX;3;3799;
ASRock A320M-HDV R4.0;AM4;A320;6;1;Micro-ATX;3;3799;
MSI A320M PRO-E;AM4;A320;5;0;Micro-ATX;3;3799;
ASRock A520M Pro4;AM4;A520;8;1;Micro-ATX;3;6899;
ASRock A520M-HDVP/DASH;AM4;A520;6;1;Micro-ATX;3;5499;
ASRock A520M-HDV;AM4;A520;6;1;Micro-ATX;3;4999;
ASUS PRIME A520M-K;AM4;A520;6;1;Micro-ATX;3;4799;
MSI A520M-A PRO;AM4;A520;6;1;Micro-ATX;3;4999;
GIGABYTE A520M S2H;AM4;A520;7;1;Micro-ATX;3;4499;
GIGABYTE A520M H;AM4;A520;7;1;Micro-ATX;3;4199;
ASUS PRIME A520M-E;AM4;A520;6;1;Micro-ATX;3;5850;
GIGABYTE A520M DS3H;AM4;A520;8;1;Micro-ATX;3;4999;
ASRock GIGABYTE A520I ACA520M-HVS;AM4;A520;6;1;Micro-ATX;3;4899;
GIGABYTE A520I AC;AM4;A520;6;1;Mini-ITX;3;8999;
GIGABYTE B550 AORUS MASTER;AM4;B550;16;1;Standard-ATX;4;24999;
ASUS PRIME B550M-A;AM4;B550;8;1;Micro-ATX;4;9500;
MSI H310M PRO-VDH PLUS;LGA1151;H310;6;1;Micro-ATX;2;4199;
ASRock H370M-HDV;LGA1151;H370;4;1;Micro-ATX;3;4499;
MSI B365M PRO-VDH;LGA1151;B365;6;1;Micro-ATX;3;6199;
GIGABYTE B460M AORUS PRO;LGA1200;B460;6;1;Micro-ATX;3;9590;
MSI Z490-A PRO;LGA1200;Z490;12;1;Standard-ATX;3;12999;
ASUS ROG STRIX Z590-E GAMING WIFI;LGA1200;Z590;16;1;Standard-ATX;4;32999;
GIGABYTE Z390 UD;LGA1151;Z390;12;1;Standard-ATX;3;9199;
