Модель;Сокет;Ядра;TDP;Техпроцесс;Базовая частота;Максимальная частота;Цена;Ссылка
AMD Ryzen 5 3600;AM4;6;65;7;3600;4200;14599;https://www.dns-shop.ru/product/b9c6465190d21b80/processor-amd-ryzen-5-3600-oem/
AMD Ryzen 7 PRO 2700;AM4;8;65;12;3200;4100;16599;https://www.dns-shop.ru/search/?q=AMD+Ryzen+7+PRO+2700
AMD Ryzen 5 3600X;AM4;6;95;7;3800;4400;17699;https://www.dns-shop.ru/product/5cfcb2b290d31b80/processor-amd-ryzen-5-3600x-oem/
AMD Athlon 3000G OEM;AM4;2;95;14;3500;3500;5199;https://www.dns-shop.ru/search/?q=amd+athlon+3000g+oem
AMD Ryzen 3 2200G OEM;AM4;4;65;14;3500;3700;9999;https://www.dns-shop.ru/search/?q=AMD+Ryzen+3+2200G+OEM
AMD Ryzen 5 3350G;AM4;4;65;12;3600;400;15299;https://www.dns-shop.ru/product/8498d66411e73332/processor-amd-ryzen-5-3350g-oem/
AMD Ryzen 7 5800X;AM4;8;105;7;3800;4700;38999;https://www.dns-shop.ru/product/bfb6376209e83332/processor-amd-ryzen-7-5800x-oem/
Intel Core i7-10700KF;LGA 1200;8;125;14;3800;5100;28999;https://www.dns-shop.ru/product/8745bf236a683332/processor-intel-core-i7-10700kf-oem/
Intel Core i3-9100F BOX;LGA1151;4;65;14;3600;4200;11599;https://www.dns-shop.ru/search/?q=Intel+Core+i3-9100F+BOX
Intel Core i7-9700F BOX;LGA1151;8;65;14;3000;4700;23999;https://www.dns-shop.ru/search/?q=Intel+Core+i7-9700F+BOX
Intel Core i5-10400F;LGA1200;6;65;14;2900;4300;12599;https://www.dns-shop.ru/product/b60145356a693332/processor-intel-core-i5-10400f-oem/
Intel Core i5-10600KF;LGA1200;6;125;14;4100;4800;17599;https://www.dns-shop.ru/product/ed1c99f86a683332/processor-intel-core-i5-10600kf-oem/
Intel Celeron G5905 BOX;LGA1200;2;58;14;3500;3500;5799;https://www.dns-shop.ru/search/?q=Intel+Celeron+G5905+BOX
Intel Core i9-10900K OEM;LGA1200;10;125;14;3700;5300;44999;https://www.dns-shop.ru/search/?q=Intel+Core+i9-10900K+OEM
Intel Core i3-10100F;LGA1200;4;65;14;3600;4300;12299;https://www.dns-shop.ru/product/5371fd83f32a3332/processor-intel-core-i3-10100f-oem/
Intel Core i5-9600K;LGA1151;6;95;14;3700;4600;17499;https://www.dns-shop.ru/product/ccb4e72fb73d1b80/processor-intel-core-i5-9600k-oem/characteristics/
